,Channel_Name,Channel_URL,Ingame_ID,opgg_url
292,전민혁 ISLAND,https://www.youtube.com/channel/UCICgBxKjf_trQzN4bT1ek7w,전민혁,https://op.gg/summoner/userName=전민혁
293,선마TV,https://www.youtube.com/channel/UCGggk-R7V5muf-B3BwTvGCg,썬탠받은마스터이,https://op.gg/summoner/userName=썬탠받은마스터이
294,선마TV,https://www.youtube.com/channel/UCGggk-R7V5muf-B3BwTvGCg,선택받은마스터이,https://op.gg/summoner/userName=선택받은마스터이
295,GyuPac Riven KR,https://www.youtube.com/channel/UCaX4Q7_ek4pI0673DU34pcQ,폭쇄아규박,https://op.gg/summoner/userName=폭쇄아규박
296,GyuPac Riven KR,https://www.youtube.com/channel/UCaX4Q7_ek4pI0673DU34pcQ,잠만보1,https://op.gg/summoner/userName=잠만보1
297,GyuPac Riven KR,https://www.youtube.com/channel/UCaX4Q7_ek4pI0673DU34pcQ,순규박,https://op.gg/summoner/userName=순규박
298,GyuPac Riven KR,https://www.youtube.com/channel/UCaX4Q7_ek4pI0673DU34pcQ,바오자켈가 규박,https://op.gg/summoner/userName=바오자켈가 규박
299,GyuPac Riven KR,https://www.youtube.com/channel/UCaX4Q7_ek4pI0673DU34pcQ,조르딕 규박,https://op.gg/summoner/userName=조르딕 규박
300,GyuPac Riven KR,https://www.youtube.com/channel/UCaX4Q7_ek4pI0673DU34pcQ,zekrom1,https://op.gg/summoner/userName=zekrom1
301,GyuPac Riven KR,https://www.youtube.com/channel/UCaX4Q7_ek4pI0673DU34pcQ,규순박,https://op.gg/summoner/userName=규순박
302,서포터성훈,https://www.youtube.com/channel/UChG0xFLvU4_b_bQ_5QUWm_g,EEXEE,https://op.gg/summoner/userName=EEXEE
303,서포터성훈,https://www.youtube.com/channel/UChG0xFLvU4_b_bQ_5QUWm_g,concesslon,https://op.gg/summoner/userName=concesslon
304,오대관.Ohdaegwan,https://www.youtube.com/channel/UCSte5pmDOu551biM1de0IKA,다이나믹한인생,https://op.gg/summoner/userName=다이나믹한인생
305,견백Gyeon100,https://www.youtube.com/channel/UCrRK5aMPSKtAqEeA4KR1K9Q,안냐세염봐주세염,https://op.gg/summoner/userName=안냐세염봐주세염
306,견백Gyeon100,https://www.youtube.com/channel/UCrRK5aMPSKtAqEeA4KR1K9Q,견견백백,https://op.gg/summoner/userName=견견백백
307,견백Gyeon100,https://www.youtube.com/channel/UCrRK5aMPSKtAqEeA4KR1K9Q,gyeon100,https://op.gg/summoner/userName=gyeon100
308,견백Gyeon100,https://www.youtube.com/channel/UCrRK5aMPSKtAqEeA4KR1K9Q,견 백,https://op.gg/summoner/userName=견 백
309,거남TV,https://www.youtube.com/channel/UCNWUem6F-445ZMVuHekIRzw,상추v,https://op.gg/summoner/userName=상추v
310,거남TV,https://www.youtube.com/channel/UCNWUem6F-445ZMVuHekIRzw,v상추v,https://op.gg/summoner/userName=v상추v
311,개빡마,https://www.youtube.com/channel/UCPNqjvYTV-HbYmZ4PXaGeHw,앵그리마이,https://op.gg/summoner/userName=앵그리마이
312,개빡마,https://www.youtube.com/channel/UCPNqjvYTV-HbYmZ4PXaGeHw,liilkllliill,https://op.gg/summoner/userName=liilkllliill
313,프로즌케이,https://www.youtube.com/channel/UCy1adJdRx-jpl9AgO5IOAMA,내큐를바드삼,https://op.gg/summoner/userName=내큐를바드삼
314,프로즌케이,https://www.youtube.com/channel/UCy1adJdRx-jpl9AgO5IOAMA,프로즌 K,https://op.gg/summoner/userName=프로즌 K
315,프로즌케이,https://www.youtube.com/channel/UCy1adJdRx-jpl9AgO5IOAMA,yungasi,https://op.gg/summoner/userName=yungasi
316,돌카사,https://www.youtube.com/channel/UC0RKbJ4MdTBlgpyfhkmDgCA,살퀸레,https://op.gg/summoner/userName=살퀸레
317,채만준,https://www.youtube.com/channel/UCldUQoHR7pV6xrT4wm9lGdg,그라가스연구소,https://op.gg/summoner/userName=그라가스연구소
318,잭스병자TV,https://www.youtube.com/channel/UC-HzqHCbNBugWjd0sp8pvwA,징징거리는노진구,https://op.gg/summoner/userName=징징거리는노진구
319,잭스병자TV,https://www.youtube.com/channel/UC-HzqHCbNBugWjd0sp8pvwA,상동섹시킹,https://op.gg/summoner/userName=상동섹시킹
320,잭스병자TV,https://www.youtube.com/channel/UC-HzqHCbNBugWjd0sp8pvwA,bj잭스병자,https://op.gg/summoner/userName=bj잭스병자
321,곰 하는 남자,https://www.youtube.com/channel/UCUN6YsQqnZQxC9cy3Hj3Gcg,LittleDevilcy,https://op.gg/summoner/userName=LittleDevilcy
322,미니언고립,https://www.youtube.com/channel/UC3va6uBfoo3p_o96Ept-wlA,사회적고립두기,https://op.gg/summoner/userName=사회적고립두기
323,미니언고립,https://www.youtube.com/channel/UC3va6uBfoo3p_o96Ept-wlA,꾹꾸꺼꺾,https://op.gg/summoner/userName=꾹꾸꺼꺾
324,천꽃,https://www.youtube.com/channel/UC8sZ6SEnGrDTBGxDXqmxXTw,Twitch 천꽃,https://op.gg/summoner/userName=Twitch 천꽃
325,천꽃,https://www.youtube.com/channel/UC8sZ6SEnGrDTBGxDXqmxXTw,천 꽃,https://op.gg/summoner/userName=천 꽃
326,천꽃,https://www.youtube.com/channel/UC8sZ6SEnGrDTBGxDXqmxXTw,보 류,https://op.gg/summoner/userName=보 류
327,크림몬 [Creammon],https://www.youtube.com/channel/UCzG-OC1mVZRXEwJA-q8lW4A,BattIeQueen Kata,https://op.gg/summoner/userName=BattIeQueen Kata
328,크림몬 [Creammon],https://www.youtube.com/channel/UCzG-OC1mVZRXEwJA-q8lW4A,아칼리십고수,https://op.gg/summoner/userName=아칼리십고수
329,탑속사,https://www.youtube.com/channel/UCNs1wMxz2jVfwmtEaySsWug,롤개몬하는사람,https://op.gg/summoner/userName=롤개몬하는사람
330,탑속사,https://www.youtube.com/channel/UCNs1wMxz2jVfwmtEaySsWug,꿀벌속사정,https://op.gg/summoner/userName=꿀벌속사정
331,단순 DanSoon [ 단검에순보 ],https://www.youtube.com/channel/UCGioAbWuBB82prTUcSXYsqw,단검에 순보,https://op.gg/summoner/userName=단검에 순보
332,단순 DanSoon [ 단검에순보 ],https://www.youtube.com/channel/UCGioAbWuBB82prTUcSXYsqw,llIlIIllIIlIll,https://op.gg/summoner/userName=llIlIIllIIlIll
333,엄졸렬,https://www.youtube.com/channel/UC3_OhqdxCclzD4vexRT1BnQ,아파요오오,https://op.gg/summoner/userName=아파요오오
334,엄졸렬,https://www.youtube.com/channel/UC3_OhqdxCclzD4vexRT1BnQ,카사딘 생존,https://op.gg/summoner/userName=카사딘 생존
335,김리븐,https://www.youtube.com/user/SSF4MANIA,김라분,https://op.gg/summoner/userName=김라분
